_id,Año,Kilómetraje,Precio,Lugar,Negociacion,Categoría,Marca,Subtipo,Modelo,Publicación,Recorrido,Vidrios,Transmisión,Combustible,Sistema de climatización,Tracción,Color,Último número de la placa,Motor(cilindraje),Placa,Tapizado,Dirección,Entrada desde,Cuotas desde,Número de cuotas,Tipo de Motor
673ab1bf1a5f1961c1ed1b40,2001,292915,19.9,Quito,Negociable,USED,Jeep,Todoterreno,Grand Cherokee Limited,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b41,2012,70000,8.9,Quito,Negociable,USED,BMW,Sedán,M3 E90,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b42,2007,180000,56.9,Quito,Negociable,USED,Mitsubishi,Todoterreno,Montero 5P,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b43,2021,21000,12.9,Quito,Negociable,USED,Kia,Crossover,Stonic,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b44,2009,224012,11.9,Quito,Negociable,USED,Skoda,Hatchback (5 Puertas),Fabia,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b45,2008,181332,60.9,Quito,Fijo,USED,Honda,Todoterreno,CR-V,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b46,2014,96913,3.9,Quito,Negociable,USED,Jeep,Todoterreno,Wrangler Unlimited Sport,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b47,2012,102000,55,Quito,Negociable,USED,Chevrolet,Sedán,Cruze,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b48,2003,199000,44.5,Quito,Fijo,USED,Audi,Sedán,A6,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b49,2007,200000,22.5,Quito,Negociable,USED,Ford,Todoterreno,Explorer Eddie Bauer,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b4a,2018,26885,9.8,Quito,Negociable,USED,Audi,Todoterreno,Q5,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b4b,1982,500000,24.5,Quito,Negociable,USED,Volkswagen,Coupé,Escarabajo,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b4c,2016,105000,8.5,Quito,Negociable,USED,Ford,Camioneta Cabina Simple,F150 Lariat,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b4d,2017,30000,23.9,Quito,Fijo,USED,Ford,Camioneta Cabina Simple,F150 XLT CD,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b4e,2017,138000,27.9,Ibarra,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX DOHC 2.4,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b4f,2019,52125,26,Quito,Fijo,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b50,2015,284000,104.99,Cuenca,Negociable,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b51,2020,56000,56,Ibarra,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b52,2013,173000,14.9,Ibarra,Negociable,USED,Kia,Sedán,Rio Stylus,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b53,2019,86102,7.99,Guayaquil,Negociable,USED,Nissan,Todoterreno,Qashqai,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b54,2022,9000,44.9,Cuenca,Negociable,USED,Hyundai,Todoterreno,Kona,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b55,2012,70000,6.9,Quito,Negociable,USED,BMW,Sedán,320i,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b56,2022,0,6.99,Quito,Fijo,NEW,Mercedes Benz,Sedán,E350,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b57,2014,22000,9.9,Quito,Fijo,USED,Chevrolet,Coupé,Camaro,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b58,2018,85109,15.9,Quito,Negociable,USED,Kia,Sedán,Rio,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b59,1998,256149,,Quito,Fijo,USED,Ford,Todoterreno,Explorer,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b5a,2017,39500,,Quito,Negociable,USED,Mercedes Benz,Sedán,CLA 200,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b5b,2002,363839,,Quito,Negociable,USED,Volkswagen,Hatchback (5 Puertas),Gol Confortline 1.8,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b5c,2005,164917,,Quito,Fijo,USED,Chevrolet,Sedán,Optra,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b5d,2005,353680,,Quito,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara 5P 4X4,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b5e,2014,152971,,Quito,Negociable,USED,Ford,Camioneta Cabina Simple,F150 XLT CD,#1720473,30000 Kms,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b5f,2002,363839,6.9,Quito,Negociable,USED,Volkswagen,Hatchback (5 Puertas),Gol Confortline 1.8,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b60,1997,5900,5.9,Ibarra,Negociable,USED,Mazda,Sedán,323,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b61,1992,626896,5.99,Quito,Fijo,USED,Ford,Todoterreno,Explorer Sport 4X4,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b62,2013,185271,21.9,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,F150,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b63,2013,133762,59.9,Quito,Negociable,USED,BMW,Todoterreno,X6 xDRIVE 35i,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b64,2012,137791,8.99,Quito,Fijo,USED,Peugeot,Hatchback (5 Puertas),206,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b65,2013,38849,49.9,Quito,Negociable,USED,BMW,Coupé,135i,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b66,2013,93342,66.9,Quito,Negociable,USED,Mercedes Benz,Todoterreno,GL450 4MATIC,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b67,2014,156810,8.3,Quito,Fijo,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b68,2009,100000,38.9,Quito,Negociable,USED,Toyota,Todoterreno,FJ Cruiser,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b69,2014,113000,37.9,Quito,Negociable,USED,Ford,Todoterreno,Expedition,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b6a,2023,1,18.59,Quito,Fijo,USED,Chery,Otro,TIGGO 2 PRO,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b6b,2017,101950,42.9,Quito,Negociable,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b6c,2019,75883,15.7,Quito,Negociable,USED,Kia,Sedán,Rio LX AC,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b6d,2021,45773,17.8,Ambato,Fijo,USED,Soueast,Todoterreno,DX3,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b6e,2020,99000,12.9,Quito,Negociable,USED,Great Wall,Sedán,C30 FULL LUXURY,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b6f,2014,155000,18.9,Guayaquil,Negociable,USED,Great Wall,Camioneta Doble Cabina,Wingle 4x4 Diesel CD Pick Up,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b70,2009,100000,17.9,Quito,Negociable,USED,Ford,Todoterreno,Expedition Eddie Bauer,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b71,2012,120000,21.99,Quito,Negociable,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b72,2009,197808,14.9,Cuenca,Negociable,USED,Hyundai,Todoterreno,Tucson,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b73,2019,76000,33.9,Guayaquil,Negociable,USED,Kia,Van,Carnival,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b74,2019,48000,13.6,Ambato,Negociable,USED,Chery,Crossover,Tiggo 2,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b75,2016,103886,21,Guayaquil,Negociable,USED,Nissan,Todoterreno,X-Trail Sense,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b76,2018,161000,11.9,Guayaquil,Negociable,USED,Renault,Sedán,Logan,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b77,2015,180887,9.5,Guayaquil,Negociable,USED,Renault,Hatchback (5 Puertas),Sandero,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b78,2018,115013,24.9,Guayaquil,Negociable,USED,Nissan,Todoterreno,X-Trail Sense,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b79,2018,40000,16.8,Quito,Negociable,USED,Fiat,Coupé,500 LOUNGE,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b7a,2012,209000,7.9,Ibarra,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b7b,2019,90000,25.9,Quito,Fijo,USED,Nissan,Todoterreno,X-Trail Advance,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b7c,2013,190000,7.9,Quito,Negociable,USED,Chery,Van,Van Pasajeros,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b7d,2023,15839,50.9,Quito,Negociable,USED,Nissan,Camioneta Doble Cabina,Frontier,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b7e,2021,14000,44.9,Quito,Negociable,USED,BMW,Coupé,218i,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b7f,2013,173000,11.5,Ambato,Negociable,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b80,2015,102000,10.9,Guayaquil,Negociable,USED,Renault,Hatchback (5 Puertas),Sandero,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b81,2016,145000,21.9,Guayaquil,Negociable,USED,Ford,Todoterreno,Expedition Eddie Bauer,#1717802,100000 Kms,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b82,2007,197000,13.5,Quito,Fijo,USED,Ford,Camioneta Doble Cabina,Sport Track,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b83,2017,7085,114.99,Quito,Negociable,USED,BMW,Todoterreno,X6 xDRIVE 35i,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b84,2014,119922,53.9,Quito,Negociable,USED,Toyota,Todoterreno,4runner sr5 premium,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b85,2018,182307,11.5,Guayaquil,Negociable,USED,Renault,Sedán,Logan Dynamique,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b86,2019,68000,16.99,Ambato,Negociable,USED,Renault,Todoterreno,Duster 2.0,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b87,2010,299948,19.9,Guayaquil,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b88,2022,40000,33.8,Ambato,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-max Crdi 2.5 CD 4x4 TM Diesel,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b89,2021,51110,14.2,Quito,Negociable,USED,Kia,Hatchback (3 Puertas),picanto pro,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b8a,2018,160000,43.9,Quito,Negociable,USED,Ford,Camioneta Cabina Simple,F150 XLT CD,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b8b,2008,162000,34,Quito,Negociable,USED,Porsche,Todoterreno,Cayenne,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b8c,2010,123000,19.5,Quito,Negociable,USED,Toyota,Todoterreno,Highlander Hibrido,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b8d,2020,91,21.9,Guayaquil,Negociable,USED,Volkswagen,Crossover,T-Cross Trendline,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b8e,2017,75442,27.5,Ambato,Fijo,USED,Kia,Todoterreno,Sportage R GTI LX AC,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b8f,2022,3800,74.99,Quito,Negociable,USED,Mercedes Benz,Hatchback (5 Puertas),A35,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b90,2023,1,25.49,Quito,Fijo,USED,Jetour,Crossover,X70 II MT 1.5T,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b91,2019,54000,20.6,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ Next Sport 2.4,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b92,2013,83000,57,Quito,Negociable,USED,Mercedes Benz,Todoterreno,ML 350 4matic,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b93,2010,56152,64.9,Quito,Negociable,USED,Hummer,Todoterreno,H3,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b94,2023,938,99.99,Quito,Negociable,USED,BMW,Sedán,M340i,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b95,1997,210000,20,Quito,Negociable,USED,Land Rover,Todoterreno,Range Rover,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b96,2003,128000,23,Quito,Negociable,USED,Mercedes Benz,Sedán,E500,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b97,2011,127000,20.5,Quito,Fijo,USED,BMW,Todoterreno,X1,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b98,2019,2000,129,Quito,Negociable,USED,Mercedes Benz,Sedán,C43 AMG,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b99,2005,192370,10.9,Quito,Negociable,USED,Kia,Todoterreno,Sorento,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b9a,2006,135000,18.9,Quito,Negociable,USED,Jeep,Todoterreno,Commander Limited,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b9b,2013,100000,20.9,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,F150,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b9c,2014,132001,26.9,Quito,Negociable,USED,Ford,Todoterreno,Explorer,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b9d,2010,170000,14.6,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,F150,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b9e,2019,71000,19.9,Guayaquil,Negociable,USED,Chevrolet,Todoterreno,Tracker LS,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1b9f,2020,18000,55.8,Quito,Negociable,USED,BMW,Todoterreno,330e,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1ba0,2011,174500,14.6,Quito,Fijo,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1ba1,2011,174500,14.6,Quito,Fijo,USED,Suzuki,Todoterreno,Grand Vitara SZ 2.4,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1ba2,2020,37000,70,Quito,Negociable,USED,Mercedes Benz,Todoterreno,GLC 200,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1ba3,2022,0,166.9,Quito,Negociable,NEW,Toyota,Camioneta Doble Cabina,Tundra TRD Pro,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1ba4,2008,71164,20.5,Ambato,Fijo,USED,Hummer,Todoterreno,H3,#1716274,56152 Kms,Eléctricos,,Gasolina,Climatizador Bi-Zona,,Negro,1,3700,Pichincha,Cuero,,,,,
673ab1bf1a5f1961c1ed1ba5,2011,190000,17.5,Guayaquil,Negociable,USED,Hyundai,Todoterreno,Veracruz,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1ba6,2019,44200,59.9,Quito,Negociable,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1ba7,2017,85284,19.5,Ambato,Fijo,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1ba8,2019,50000,13.4,Quito,Negociable,USED,Changan,Todoterreno,CS 15,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1ba9,2001,48000,21,Quito,Negociable,USED,Mercedes Benz,Sedán,C200 K,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1baa,2015,35000,38,Quito,Negociable,USED,Volkswagen,Hatchback (5 Puertas),GTI,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bab,2015,120000,10.3,Quito,Negociable,USED,Chevrolet,Sedán,Sail,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bac,1980,200000,14.9,Quito,Negociable,USED,Toyota,Todoterreno,Land Cruiser,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bad,2018,65000,29,Quito,Fijo,USED,Volkswagen,Todoterreno,Tiguan,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bae,2014,92903,59,Quito,Negociable,USED,Mercedes Benz,Todoterreno,ML 400 4Matic Biturbo,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1baf,2019,79181,51,Quito,Fijo,USED,Jeep,Todoterreno,Grand Cherokee Laredo,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bb0,2015,142000,10.9,Quito,Negociable,USED,Renault,Sedán,Logan Dynamique,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bb1,2008,71687,31,Quito,Negociable,USED,Mercedes Benz,Sedán,C350,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bb2,2019,61477,24,Quito,Negociable,USED,Kia,Todoterreno,SPORTAGE SL,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bb3,2016,56174,13,Quito,Negociable,USED,Chevrolet,Sedán,Aveo Emotion GLS,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bb4,2022,1,28.99,Quito,Negociable,USED,JAC,Camioneta Doble Cabina,T8,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bb5,1986,212000,13,Quito,Negociable,USED,Mercedes Benz,Sedán,230E,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bb6,2018,70000,12,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),SAIL LTZ,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bb7,2018,119000,18.9,Cuenca,Negociable,USED,Chevrolet,Todoterreno,Tracker LS,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bb8,2018,65000,18.9,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ Next Sport 2.4,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bb9,2019,118000,19.7,Cuenca,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara SZ Next Sport TM,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bba,2022,36000,39.5,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-Max  High Country,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bbb,2022,36000,39.5,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-max Crdi 2.5 CD 4x4 TM Diesel,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bbc,2019,17000,65.9,Quito,Negociable,USED,Audi,Sedán,A5,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bbd,2010,109000,12.6,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bbe,2013,40000,28,Quito,Negociable,USED,Audi,Sedán,A4,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bbf,2019,75000,15.8,Quito,Negociable,USED,Brilliance,Crossover,V3,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bc0,2013,84204,46.9,Quito,Negociable,USED,Toyota,Todoterreno,4runner sr5 premium,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bc1,2001,61000,15.5,Quito,Fijo,USED,Suzuki,Hatchback (3 Puertas),Forsa 1,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bc2,2023,0,22.49,Quito,Negociable,USED,Jetour,Todoterreno,X70 I MT 1.5T,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bc3,2012,130000,12.6,Quito,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara 5P 4X4,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bc4,2019,90000,12.9,Cuenca,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bc5,2010,96000,8.6,Quito,Negociable,USED,Volkswagen,Sedán,GOL 1.6,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bc6,2023,0,27.69,Quito,Fijo,USED,Jetour,Todoterreno Ligero,X70 II AT 1.5T,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bc7,2008,200000,11.9,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),SAIL LTZ,#1718008,90000 Kms,Eléctricos,Manual,Gasolina,Aire Acondicionado,4 x 2,Negro,2,1500,Pichincha,Tela,Hidráulica,,,,
673ab1bf1a5f1961c1ed1bc8,2023,1,31.99,Quito,Negociable,USED,JAC,Camioneta Doble Cabina,T8,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bc9,2018,20533,52.9,Quito,Negociable,USED,Mercedes Benz,Sedán,C250,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bca,2023,0,27.69,Quito,Negociable,USED,Jetour,Todoterreno Ligero,X70 II AT 1.5T,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bcb,2003,67900,31,Quito,Negociable,USED,Mercedes Benz,Coupé,CLK320,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bcc,2013,110000,12.9,Quito,Negociable,USED,Volkswagen,Sedán,Jetta,,,,,,,,,,,,,,,,,
673ab1bf1a5f1961c1ed1bcd,2017,73557,14.5,Quito,Negociable,USED,Hyundai,Sedán,Ioniq Hybrid,,,,,,,,,,,,,,,,,
