,Kilómetraje,Precio,Lugar,Negociacion,Categoría,Marca,Subtipo,Modelo,Publicación,Recorrido,Vidrios,Transmisión,Combustible,Sistema de climatización,Tracción,Color,Último número de la placa,Dirección,Motor(cilindraje),Tapizado,Placa,Tipo de Motor,Entrada desde,Cuotas desde,Número de cuotas,Sistemadeclimatización,Últimonúmerodelaplaca,TipodeMotor,Entradadesde,Cuotasdesde,Númerodecuotas
66,115000,10.6,Quito,Negociable,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,,,,,,,
67,136000,11.9,Quito,Negociable,USED,Volkswagen,Sedán,Jetta,,,,,,,,,,,,,,,,,,,,,,,
68,166000,42.6,Quito,Negociable,USED,Toyota,Todoterreno,4 Runner,,,,,,,,,,,,,,,,,,,,,,,
69,60000,14.6,Quito,Negociable,USED,Mercedes Benz,Todoterreno,GLA 250 AMG,#1724735,60703 Kms,Eléctricos,Automática,Gasolina,Climatizador Bi-Zona,4 x 4,Blanco,5.0,Electrónica,2000.0,Cuero,Pichincha,,,,,,,,,,
70,90000,16.4,Quito,Negociable,USED,Great Wall,Camioneta Doble Cabina,WINGLE,,,,,,,,,,,,,,,,,,,,,,,
71,73000,29.9,Quito,Negociable,USED,Peugeot,Todoterreno,3008 Allure,,,,,,,,,,,,,,,,,,,,,,,
72,59000,14.9,Quito,Negociable,USED,Chery,Hatchback (5 Puertas),Tiggo 3,,,,,,,,,,,,,,,,,,,,,,,
73,40000,12.6,Quito,Negociable,USED,Nissan,Sedán,Almera,,,,,,,,,,,,,,,,,,,,,,,
74,60000,14.6,Quito,Negociable,USED,Great Wall,Todoterreno,Haval H6,,,,,,,,,,,,,,,,,,,,,,,
75,0,31.99,Quito,Fijo,NEW,JAC,Camioneta Doble Cabina,T8,,,,,,,,,,,,,,,,,,,,,,,
76,0,13.99,Quito,Fijo,NEW,Jetour,Van,Karry,,,,,,,,,,,,,,,,,,,,,,,
77,0,36.49,Quito,Fijo,NEW,JAC,Camioneta Doble Cabina,T8 PRO,,,,,,,,,,,,,,,,,,,,,,,
78,40000,15.9,Quito,Negociable,USED,Renault,Hatchback (5 Puertas),Sandero,,,,,,,,,,,,,,,,,,,,,,,
79,40000,15.9,Quito,Negociable,USED,Renault,Hatchback (5 Puertas),Sandero Dynamic,,,,,,,,,,,,,,,,,,,,,,,
80,40000,15.9,Quito,Negociable,USED,Renault,Hatchback (5 Puertas),Sandero Stepway,,,,,,,,,,,,,,,,,,,,,,,
81,15000,22.9,Quito,Negociable,USED,Chevrolet,Crossover,Tracker,,,,,,,,,,,,,,,,,,,,,,,
82,15000,22.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Tracker LS,,,,,,,,,,,,,,,,,,,,,,,
83,93000,26.9,Quito,Negociable,USED,Volkswagen,Camioneta Doble Cabina,Amarok,,,,,,,,,,,,,,,,,,,,,,,
84,46000,21.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Tracker LS,,,,,,,,,,,,,,,,,,,,,,,
85,62000,13.4,Quito,Negociable,USED,Chevrolet,Sedán,Sail,,,,,,,,,,,,,,,,,,,,,,,
86,73000,29.9,Quito,Negociable,USED,Peugeot,Todoterreno,3008,,,,,,,,,,,,,,,,,,,,,,,
87,70000,33.8,Quito,Negociable,USED,Mitsubishi,Camioneta Doble Cabina,L200,,,,,,,,,,,,,,,,,,,,,,,
88,87000,15.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,,,,,,,
89,51000,30.9,Quito,Negociable,USED,Mazda,Todoterreno,CX-5,,,,,,,,,,,,,,,,,,,,,,,
90,35000,22.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,,,,,,,
91,35000,22.9,Quito,Negociable,USED,Chevrolet,Crossover,Captiva Premier,,,,,,,,,,,,,,,,,,,,,,,
92,170000,10.4,Quito,Negociable,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,,,,,,,
93,22000,84.9,Quito,Negociable,USED,Mercedes Benz,Sedán,E350,,,,,,,,,,,,,,,,,,,,,,,
94,61000,19.9,Quito,Negociable,USED,Nissan,Todoterreno,Kicks,,,,,,,,,,,,,,,,,,,,,,,
95,23000,24.9,Quito,Negociable,USED,Toyota,Sedán,COROLLA HV SEG AC,,,,,,,,,,,,,,,,,,,,,,,
96,66000,19.9,Quito,Negociable,USED,Hyundai,Todoterreno,Tucson IX,,,,,,,,,,,,,,,,,,,,,,,
97,66000,19.9,Quito,Negociable,USED,Hyundai,Todoterreno,Tucson,,,,,,,,,,,,,,,,,,,,,,,
98,115873,24.9,Quito,Negociable,USED,Ford,Todoterreno,Explorer,,,,,,,,,,,,,,,,,,,,,,,
99,115873,24.9,Quito,Negociable,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,,,,,,,
100,115873,24.9,Quito,Negociable,USED,Ford,Todoterreno,Explorer 5P,,,,,,,,,,,,,,,,,,,,,,,
101,99000,18.9,Quito,Negociable,USED,Kia,Crossover,NIRO Hibrido,,,,,,,,,,,,,,,,,,,,,,,
102,59000,18.4,Quito,Negociable,USED,Suzuki,Todoterreno,S-Cross,,,,,,,,,,,,,,,,,,,,,,,
103,100000,31.9,Quito,Negociable,USED,Honda,Todoterreno,Pilot,,,,,,,,,,,,,,,,,,,,,,,
104,64000,10.4,Quito,Negociable,USED,Mitsubishi,Camioneta Doble Cabina,L200,#1724736,70000 Kms,Eléctricos,Manual,Diesel,Aire Acondicionado,4 x 4,Blanco,0.0,Hidráulica,2500.0,Tela,Pichincha,,,,,,,,,,
105,83000,28.4,Quito,Negociable,USED,Mazda,Todoterreno,CX-5,,,,,,,,,,,,,,,,,,,,,,,
106,83000,28.4,Quito,Negociable,USED,Mazda,Todoterreno,CX-5 Full,,,,,,,,,,,,,,,,,,,,,,,
107,58000,18.6,Quito,Negociable,USED,Kia,Todoterreno,Soul,,,,,,,,,,,,,,,,,,,,,,,
108,32407,24.5,Quito,Negociable,USED,Pontiac,Convertible,Firebird,,,,,,,,,,,,,,,,,,,,,,,
109,49000,17.9,Quito,Negociable,USED,Volkswagen,Sedán,New Jetta,,,,,,,,,,,,,,,,,,,,,,,
110,49000,17.9,Quito,Negociable,USED,Volkswagen,Sedán,Jetta,,,,,,,,,,,,,,,,,,,,,,,
111,40000,37.9,Quito,Negociable,USED,Toyota,Todoterreno,NEW RAV 4,,,,,,,,,,,,,,,,,,,,,,,
112,35000,16.9,Quito,Negociable,USED,Fiat,Coupé,500 LOUNGE,,,,,,,,,,,,,,,,,,,,,,,
113,22000,24.6,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,,,,,,,
114,111045,21.6,Quito,Negociable,USED,Lexus,Sedán,GS450H,,,,,,,,,,,,,,,,,,,,,,,
115,128748,21.4,Quito,Negociable,USED,Ford,Todoterreno,Edge,,,,,,,,,,,,,,,,,,,,,,,
116,120701,17.9,Quito,Negociable,USED,Ford,Todoterreno,Escape,,,,,,,,,,,,,,,,,,,,,,,
117,567,27.9,Quito,Negociable,USED,Toyota,Todoterreno,Rush,,,,,,,,,,,,,,,,,,,,,,,
118,130000,10.6,Quito,Negociable,USED,Chevrolet,Sedán,Aveo,,,,,,,,,,,,,,,,,,,,,,,
119,130000,10.6,Quito,Negociable,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,,,,,,,
120,64000,10.4,Quito,Negociable,USED,Chevrolet,Van de Carga,N300,,,,,,,,,,,,,,,,,,,,,,,
121,54000,35.4,Quito,Negociable,USED,Ford,Camioneta Cabina Simple,F150 4X4,,,,,,,,,,,,,,,,,,,,,,,
122,54000,35.4,Quito,Negociable,USED,Ford,Camioneta Cabina Simple,F150 CS 4x4,,,,,,,,,,,,,,,,,,,,,,,
123,41000,32.6,Quito,Negociable,USED,Volkswagen,Todoterreno,Tiguan,,,,,,,,,,,,,,,,,,,,,,,
124,54000,35.4,Quito,Negociable,USED,Ford,Camioneta Cabina Simple,F150,,,,,,,,,,,,,,,,,,,,,,,
125,65000,17.9,Quito,Negociable,USED,Volkswagen,Sedán,New Jetta,,,,,,,,,,,,,,,,,,,,,,,
126,65000,17.9,Quito,Negociable,USED,Volkswagen,Sedán,Jetta,,,,,,,,,,,,,,,,,,,,,,,
127,73000,39.9,Quito,Negociable,USED,Jeep,Todoterreno,Grand Cherokee Laredo,,,,,,,,,,,,,,,,,,,,,,,
128,73000,39.9,Quito,Negociable,USED,Jeep,Todoterreno,Grand Cherokee,,,,,,,,,,,,,,,,,,,,,,,
129,175173,13.5,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,,,,,,,
130,26200,15.9,Quito,Negociable,USED,Chevrolet,Sedán,ONIX,,,,,,,,,,,,,,,,,,,,,,,
131,29000,16.9,Quito,Negociable,USED,Kia,Hatchback (5 Puertas),PICANTO EX 1.2,,,,,,,,,,,,,,,,,,,,,,,
132,120000,16.9,Quito,Negociable,USED,Nissan,Sedán,Versa,,,,,,,,,,,,,,,,,,,,,,,
133,13000,17.8,Quito,Negociable,USED,Chevrolet,Sedán,Sail,,,,,,,,,,,,,,,,,,,,,,,
134,64000,10.4,Quito,Negociable,USED,Faw,Camioneta Cabina Simple,T80,,,,,,,,,,,,,,,,,,,,,,,
135,133000,13.9,Quito,Negociable,USED,Nissan,Todoterreno,Qashqai,,,,,,,,,,,,,,,,,,,,,,,
136,79000,26.9,Quito,Negociable,USED,Kia,Todoterreno,Sportage,,,,,,,,,,,,,,,,,,,,,,,
137,79000,26.9,Quito,Negociable,USED,Kia,Todoterreno,Sportage GT,,,,,,,,,,,,,,,,,,,,,,,
138,93000,20.9,Quito,Negociable,USED,Kia,Todoterreno,Sportage R,,,,,,,,,,,,,,,,,,,,,,,
139,93000,20.9,Quito,Negociable,USED,Ford,Camioneta Cabina Simple,F150 CS 4x4,#1669717,54000 Kms,Eléctricos delanteros,Automática,Gasolina,Aire Acondicionado,4 x 4,Verde,5.0,Electrónica,3500.0,Cuero,Pichincha,3.5L DOHC V6,,,,,,,,,
140,74000,11.4,Quito,Negociable,USED,Chevrolet,Sedán,Sail,,,,,,,,,,,,,,,,,,,,,,,
141,38000,28.4,Quito,Negociable,USED,Jeep,Todoterreno,Compass Sport,,,,,,,,,,,,,,,,,,,,,,,
142,46000,30.9,Quito,Negociable,USED,Mazda,SUV,CX-5,,,,,,,,,,,,,,,,,,,,,,,
143,38000,28.9,Quito,Negociable,USED,Jeep,Todoterreno,Compass,,,,,,,,,,,,,,,,,,,,,,,
144,46000,30.9,Quito,Negociable,USED,Mazda,SUV,CX-5 Active,,,,,,,,,,,,,,,,,,,,,,,
145,35,28.9,Quito,Negociable,USED,Dodge,Todoterreno,Journey,,,,,,,,,,,,,,,,,,,,,,,
146,17000,24.9,Quito,Negociable,USED,JAC,Camioneta Doble Cabina,T8,,,,,,,,,,,,,,,,,,,,,,,
147,17000,24.9,Quito,Negociable,USED,JAC,Camioneta Doble Cabina,T8 PRO,,,,,,,,,,,,,,,,,,,,,,,
148,27000,23.9,Quito,Negociable,USED,Chevrolet,Crossover,Captiva Premier,,,,,,,,,,,,,,,,,,,,,,,
149,15000,25.6,Quito,Negociable,USED,DongFeng,Camioneta Doble Cabina,RICH,,,,,,,,,,,,,,,,,,,,,,,
150,5000,5.9,Quito,Negociable,USED,Kia,Hatchback (5 Puertas),PICANTO LX,,,,,,,,,,,,,,,,,,,,,,,
151,5000,5.9,Quito,Negociable,USED,Chevrolet,Hatchback (3 Puertas),Spark,,,,,,,,,,,,,,,,,,,,,,,
152,11000,16.9,Quito,Negociable,USED,Fiat,Camioneta Cabina Simple,Fiorino,,,,,,,,,,,,,,,,,,,,,,,
153,11000,16.9,Quito,Negociable,USED,Volkswagen,Camioneta Cabina Simple,Saveiro,,,,,,,,,,,,,,,,,,,,,,,
154,15000,24.6,Quito,Negociable,USED,DongFeng,Camioneta Doble Cabina,NEW RICH 6 4X2 DIESEL,,,,,,,,,,,,,,,,,,,,,,,
155,46000,30.9,Quito,Negociable,USED,Mazda,Todoterreno,CX-5 Full,,,,,,,,,,,,,,,,,,,,,,,
156,61000,44.9,Quito,Negociable,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,,,,,,,
157,61000,44.9,Quito,Negociable,USED,Ford,Todoterreno,Explorer,,,,,,,,,,,,,,,,,,,,,,,
158,71000,15.9,Quito,Negociable,USED,Hyundai,Sedán,Sonata,,,,,,,,,,,,,,,,,,,,,,,
159,64000,12.6,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark,,,,,,,,,,,,,,,,,,,,,,,
160,64000,12.6,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,,,,,,,
161,62000,8.4,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark Life,,,,,,,,,,,,,,,,,,,,,,,
162,67000,18.4,Quito,Negociable,USED,Skoda,Sedán,Octavia A7,,,,,,,,,,,,,,,,,,,,,,,
163,62000,8.4,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark,,,,,,,,,,,,,,,,,,,,,,,
164,9000,76.9,Quito,Fijo,USED,BMW,Todoterreno,X3 Xdrive 35i,,,,,,,,,,,,,,,,,,,,,,,
165,67000,18.4,Quito,Negociable,USED,Skoda,Sedán,Octavia,,,,,,,,,,,,,,,,,,,,,,,
166,9000,76.9,Quito,Negociable,USED,BMW,Todoterreno,X3 Xdrive 28i,,,,,,,,,,,,,,,,,,,,,,,
167,9000,76.9,Quito,Negociable,USED,BMW,Todoterreno,X3 3.0SI,,,,,,,,,,,,,,,,,,,,,,,
168,9000,76.9,Quito,Negociable,USED,BMW,Todoterreno,X3,,,,,,,,,,,,,,,,,,,,,,,
169,100000,16.4,Quito,Negociable,USED,Great Wall,Todoterreno,H5 Full,,,,,,,,,,,,,,,,,,,,,,,
170,100000,16.4,Quito,Negociable,USED,Great Wall,Todoterreno,H5,,,,,,,,,,,,,,,,,,,,,,,
171,88514,38.9,Quito,Negociable,USED,Ford,Todoterreno,Edge,,,,,,,,,,,,,,,,,,,,,,,
172,54000,38.9,Quito,Negociable,USED,BMW,Todoterreno,X1,,,,,,,,,,,,,,,,,,,,,,,
173,74000,18.9,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ Next Sport 2.4,,,,,,,,,,,,,,,,,,,,,,,
174,74000,18.9,Quito,Negociable,USED,Ford,Todoterreno,Explorer,#1723340,61000 Kms,Eléctricos,Automática,Gasolina,Aire Acondicionado,4 x 4,Plata,9.0,Asistida,3500.0,Otro,Pichincha,,,,,,,,,,
175,74000,18.9,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,,,,,,,
176,85000,33.9,Quito,Negociable,USED,Dodge,Todoterreno,Durango,,,,,,,,,,,,,,,,,,,,,,,
177,45000,22.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,,,,,,,
178,44000,26.9,Quito,Negociable,USED,Volkswagen,Camioneta Doble Cabina,Amarok,,,,,,,,,,,,,,,,,,,,,,,
179,82000,25.9,Quito,Negociable,USED,Audi,Todoterreno,Q3,,,,,,,,,,,,,,,,,,,,,,,
180,34000,29.4,Quito,Negociable,USED,Audi,Sedán,A3,,,,,,,,,,,,,,,,,,,,,,,
181,34000,29.4,Quito,Negociable,USED,Audi,Hatchback (5 Puertas),A3,,,,,,,,,,,,,,,,,,,,,,,
182,82000,25.6,Quito,Negociable,USED,Audi,Todoterreno,Q3 SPORTBACK,,,,,,,,,,,,,,,,,,,,,,,
183,45000,22.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva Limited,,,,,,,,,,,,,,,,,,,,,,,
184,44000,26.9,Quito,Negociable,USED,Volkswagen,Camioneta Doble Cabina,Amarok TSI,,,,,,,,,,,,,,,,,,,,,,,
185,106000,15.9,Quito,Negociable,USED,Chevrolet,Sedán,Sail,,,,,,,,,,,,,,,,,,,,,,,
186,11000,79.9,Quito,Negociable,USED,Mercedes Benz,Todoterreno,GLC 200,,,,,,,,,,,,,,,,,,,,,,,
187,106000,15.9,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),SAIL LTZ,,,,,,,,,,,,,,,,,,,,,,,
188,5000,5.9,Quito,Negociable,USED,Dayang,Hatchback (3 Puertas),Chok,,,,,,,,,,,,,,,,,,,,,,,
189,15000,24.6,Quito,Negociable,USED,JAC,Camioneta Doble Cabina,T6,,,,,,,,,,,,,,,,,,,,,,,
190,27000,23.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,,,,,,,
191,27000,23.9,Quito,Negociable,USED,Chevrolet,Crossover,Captiva Premier,,,,,,,,,,,,,,,,,,,,,,,
192,11000,16.9,Quito,Negociable,USED,Ram,Camioneta Cabina Simple,RAM 700 SLT,,,,,,,,,,,,,,,,,,,,,,,
193,165000,9.4,Quito,Negociable,USED,Hyundai,Hatchback (5 Puertas),Getz,,,,,,,,,,,,,,,,,,,,,,,
194,88514,38.9,Quito,Negociable,USED,Ford,Todoterreno,Edge Limited,,,,,,,,,,,,,,,,,,,,,,,
195,165000,9.4,Quito,Negociable,USED,Hyundai,Hatchback (3 Puertas),Getz,,,,,,,,,,,,,,,,,,,,,,,
196,43000,26.9,Quito,Negociable,USED,Mazda,Camioneta Doble Cabina,BT-50 CD 4x2,,,,,,,,,,,,,,,,,,,,,,,
197,39000,19.9,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,,,,,,,
198,38000,21.6,Quito,Negociable,USED,Volkswagen,Sedán,Passat,,,,,,,,,,,,,,,,,,,,,,,
199,43000,26.9,Quito,Negociable,USED,Mazda,Camioneta Doble Cabina,New BT-50,,,,,,,,,,,,,,,,,,,,,,,
200,43000,26.9,Quito,Negociable,USED,Mazda,Camioneta Doble Cabina,BT-50,,,,,,,,,,,,,,,,,,,,,,,
201,39000,19.9,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,,,,,,,
202,39000,19.9,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,,,,,,,
203,38000,21.6,Quito,Negociable,USED,Volkswagen,Sedán,Passat CC Sport,,,,,,,,,,,,,,,,,,,,,,,
204,38000,21.6,Quito,Negociable,USED,Volkswagen,Sedán,PASSAT ADVANCE,,,,,,,,,,,,,,,,,,,,,,,
205,64000,11.99,Otavalo,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,,,,,,,
