,Año,Kilómetraje,Precio,Lugar,Negociacion,Categoría,Marca,Subtipo,Modelo,Publicación,Recorrido,Vidrios,Transmisión,Combustible,Sistema de climatización,Tracción,Color,Último número de la placa,Motor(cilindraje),Placa,Tapizado,Dirección,Entrada desde,Cuotas desde,Número de cuotas,Tipo de Motor
55,2002,363839,6.9,Quito,Negociable,USED,Volkswagen,Hatchback (5 Puertas),Gol Confortline 1.8,,,,,,,,,,,,,,,,,
56,1997,5900,5.9,Ibarra,Negociable,USED,Mazda,Sedán,323,,,,,,,,,,,,,,,,,
57,1992,626896,5.99,Quito,Fijo,USED,Ford,Todoterreno,Explorer Sport 4X4,,,,,,,,,,,,,,,,,
58,2013,185271,21.9,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,F150,,,,,,,,,,,,,,,,,
59,2013,133762,59.9,Quito,Negociable,USED,BMW,Todoterreno,X6 xDRIVE 35i,,,,,,,,,,,,,,,,,
60,2012,137791,8.99,Quito,Fijo,USED,Peugeot,Hatchback (5 Puertas),206,,,,,,,,,,,,,,,,,
61,2013,38849,49.9,Quito,Negociable,USED,BMW,Coupé,135i,,,,,,,,,,,,,,,,,
62,2013,93342,66.9,Quito,Negociable,USED,Mercedes Benz,Todoterreno,GL450 4MATIC,,,,,,,,,,,,,,,,,
63,2014,156810,8.3,Quito,Fijo,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
64,2009,100000,38.9,Quito,Negociable,USED,Toyota,Todoterreno,FJ Cruiser,,,,,,,,,,,,,,,,,
65,2014,113000,37.9,Quito,Negociable,USED,Ford,Todoterreno,Expedition,,,,,,,,,,,,,,,,,
66,2023,1,18.59,Quito,Fijo,USED,Chery,Otro,TIGGO 2 PRO,,,,,,,,,,,,,,,,,
67,2017,101950,42.9,Quito,Negociable,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,
68,2019,75883,15.7,Quito,Negociable,USED,Kia,Sedán,Rio LX AC,,,,,,,,,,,,,,,,,
69,2021,45773,17.8,Ambato,Fijo,USED,Soueast,Todoterreno,DX3,,,,,,,,,,,,,,,,,
70,2020,99000,12.9,Quito,Negociable,USED,Great Wall,Sedán,C30 FULL LUXURY,,,,,,,,,,,,,,,,,
71,2014,155000,18.9,Guayaquil,Negociable,USED,Great Wall,Camioneta Doble Cabina,Wingle 4x4 Diesel CD Pick Up,,,,,,,,,,,,,,,,,
72,2009,100000,17.9,Quito,Negociable,USED,Ford,Todoterreno,Expedition Eddie Bauer,,,,,,,,,,,,,,,,,
73,2012,120000,21.99,Quito,Negociable,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,
74,2009,197808,14.9,Cuenca,Negociable,USED,Hyundai,Todoterreno,Tucson,,,,,,,,,,,,,,,,,
75,2019,76000,33.9,Guayaquil,Negociable,USED,Kia,Van,Carnival,,,,,,,,,,,,,,,,,
76,2019,48000,13.6,Ambato,Negociable,USED,Chery,Crossover,Tiggo 2,,,,,,,,,,,,,,,,,
77,2016,103886,21.0,Guayaquil,Negociable,USED,Nissan,Todoterreno,X-Trail Sense,,,,,,,,,,,,,,,,,
78,2018,161000,11.9,Guayaquil,Negociable,USED,Renault,Sedán,Logan,,,,,,,,,,,,,,,,,
79,2015,180887,9.5,Guayaquil,Negociable,USED,Renault,Hatchback (5 Puertas),Sandero,,,,,,,,,,,,,,,,,
80,2018,115013,24.9,Guayaquil,Negociable,USED,Nissan,Todoterreno,X-Trail Sense,,,,,,,,,,,,,,,,,
81,2018,40000,16.8,Quito,Negociable,USED,Fiat,Coupé,500 LOUNGE,,,,,,,,,,,,,,,,,
82,2012,209000,7.9,Ibarra,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark,,,,,,,,,,,,,,,,,
83,2019,90000,25.9,Quito,Fijo,USED,Nissan,Todoterreno,X-Trail Advance,,,,,,,,,,,,,,,,,
84,2013,190000,7.9,Quito,Negociable,USED,Chery,Van,Van Pasajeros,,,,,,,,,,,,,,,,,
85,2023,15839,50.9,Quito,Negociable,USED,Nissan,Camioneta Doble Cabina,Frontier,,,,,,,,,,,,,,,,,
86,2021,14000,44.9,Quito,Negociable,USED,BMW,Coupé,218i,,,,,,,,,,,,,,,,,
87,2013,173000,11.5,Ambato,Negociable,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,
88,2015,102000,10.9,Guayaquil,Negociable,USED,Renault,Hatchback (5 Puertas),Sandero,,,,,,,,,,,,,,,,,
89,2016,145000,21.9,Guayaquil,Negociable,USED,Ford,Todoterreno,Expedition Eddie Bauer,#1717802,100000 Kms,,,,,,,,,,,,,,,
90,2007,197000,13.5,Quito,Fijo,USED,Ford,Camioneta Doble Cabina,Sport Track,,,,,,,,,,,,,,,,,
91,2017,7085,114.99,Quito,Negociable,USED,BMW,Todoterreno,X6 xDRIVE 35i,,,,,,,,,,,,,,,,,
92,2014,119922,53.9,Quito,Negociable,USED,Toyota,Todoterreno,4runner sr5 premium,,,,,,,,,,,,,,,,,
93,2018,182307,11.5,Guayaquil,Negociable,USED,Renault,Sedán,Logan Dynamique,,,,,,,,,,,,,,,,,
94,2019,68000,16.99,Ambato,Negociable,USED,Renault,Todoterreno,Duster 2.0,,,,,,,,,,,,,,,,,
95,2010,299948,19.9,Guayaquil,Negociable,USED,Toyota,Todoterreno,Fortuner 2.7,,,,,,,,,,,,,,,,,
96,2022,40000,33.8,Ambato,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-max Crdi 2.5 CD 4x4 TM Diesel,,,,,,,,,,,,,,,,,
97,2021,51110,14.2,Quito,Negociable,USED,Kia,Hatchback (3 Puertas),picanto pro,,,,,,,,,,,,,,,,,
98,2018,160000,43.9,Quito,Negociable,USED,Ford,Camioneta Cabina Simple,F150 XLT CD,,,,,,,,,,,,,,,,,
99,2008,162000,34.0,Quito,Negociable,USED,Porsche,Todoterreno,Cayenne,,,,,,,,,,,,,,,,,
100,2010,123000,19.5,Quito,Negociable,USED,Toyota,Todoterreno,Highlander Hibrido,,,,,,,,,,,,,,,,,
101,2020,91,21.9,Guayaquil,Negociable,USED,Volkswagen,Crossover,T-Cross Trendline,,,,,,,,,,,,,,,,,
102,2017,75442,27.5,Ambato,Fijo,USED,Kia,Todoterreno,Sportage R GTI LX AC,,,,,,,,,,,,,,,,,
103,2022,3800,74.99,Quito,Negociable,USED,Mercedes Benz,Hatchback (5 Puertas),A35,,,,,,,,,,,,,,,,,
104,2023,1,25.49,Quito,Fijo,USED,Jetour,Crossover,X70 II MT 1.5T,,,,,,,,,,,,,,,,,
105,2019,54000,20.6,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ Next Sport 2.4,,,,,,,,,,,,,,,,,
106,2013,83000,57.0,Quito,Negociable,USED,Mercedes Benz,Todoterreno,ML 350 4matic,,,,,,,,,,,,,,,,,
107,2010,56152,64.9,Quito,Negociable,USED,Hummer,Todoterreno,H3,,,,,,,,,,,,,,,,,
108,2023,938,99.99,Quito,Negociable,USED,BMW,Sedán,M340i,,,,,,,,,,,,,,,,,
109,1997,210000,20.0,Quito,Negociable,USED,Land Rover,Todoterreno,Range Rover,,,,,,,,,,,,,,,,,
110,2003,128000,23.0,Quito,Negociable,USED,Mercedes Benz,Sedán,E500,,,,,,,,,,,,,,,,,
111,2011,127000,20.5,Quito,Fijo,USED,BMW,Todoterreno,X1,,,,,,,,,,,,,,,,,
112,2019,2000,129.0,Quito,Negociable,USED,Mercedes Benz,Sedán,C43 AMG,,,,,,,,,,,,,,,,,
113,2005,192370,10.9,Quito,Negociable,USED,Kia,Todoterreno,Sorento,,,,,,,,,,,,,,,,,
114,2006,135000,18.9,Quito,Negociable,USED,Jeep,Todoterreno,Commander Limited,,,,,,,,,,,,,,,,,
115,2013,100000,20.9,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,F150,,,,,,,,,,,,,,,,,
116,2014,132001,26.9,Quito,Negociable,USED,Ford,Todoterreno,Explorer,,,,,,,,,,,,,,,,,
117,2010,170000,14.6,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,F150,,,,,,,,,,,,,,,,,
118,2019,71000,19.9,Guayaquil,Negociable,USED,Chevrolet,Todoterreno,Tracker LS,,,,,,,,,,,,,,,,,
119,2020,18000,55.8,Quito,Negociable,USED,BMW,Todoterreno,330e,,,,,,,,,,,,,,,,,
120,2011,174500,14.6,Quito,Fijo,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
121,2011,174500,14.6,Quito,Fijo,USED,Suzuki,Todoterreno,Grand Vitara SZ 2.4,,,,,,,,,,,,,,,,,
122,2020,37000,70.0,Quito,Negociable,USED,Mercedes Benz,Todoterreno,GLC 200,,,,,,,,,,,,,,,,,
123,2022,0,166.9,Quito,Negociable,NEW,Toyota,Camioneta Doble Cabina,Tundra TRD Pro,,,,,,,,,,,,,,,,,
124,2008,71164,20.5,Ambato,Fijo,USED,Hummer,Todoterreno,H3,#1716274,56152 Kms,Eléctricos,,Gasolina,Climatizador Bi-Zona,,Negro,1.0,3700.0,Pichincha,Cuero,,,,,
125,2011,190000,17.5,Guayaquil,Negociable,USED,Hyundai,Todoterreno,Veracruz,,,,,,,,,,,,,,,,,
126,2019,44200,59.9,Quito,Negociable,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,
127,2017,85284,19.5,Ambato,Fijo,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
128,2019,50000,13.4,Quito,Negociable,USED,Changan,Todoterreno,CS 15,,,,,,,,,,,,,,,,,
129,2001,48000,21.0,Quito,Negociable,USED,Mercedes Benz,Sedán,C200 K,,,,,,,,,,,,,,,,,
130,2015,35000,38.0,Quito,Negociable,USED,Volkswagen,Hatchback (5 Puertas),GTI,,,,,,,,,,,,,,,,,
131,2015,120000,10.3,Quito,Negociable,USED,Chevrolet,Sedán,Sail,,,,,,,,,,,,,,,,,
132,1980,200000,14.9,Quito,Negociable,USED,Toyota,Todoterreno,Land Cruiser,,,,,,,,,,,,,,,,,
133,2018,65000,29.0,Quito,Fijo,USED,Volkswagen,Todoterreno,Tiguan,,,,,,,,,,,,,,,,,
134,2014,92903,59.0,Quito,Negociable,USED,Mercedes Benz,Todoterreno,ML 400 4Matic Biturbo,,,,,,,,,,,,,,,,,
135,2019,79181,51.0,Quito,Fijo,USED,Jeep,Todoterreno,Grand Cherokee Laredo,,,,,,,,,,,,,,,,,
136,2015,142000,10.9,Quito,Negociable,USED,Renault,Sedán,Logan Dynamique,,,,,,,,,,,,,,,,,
137,2008,71687,31.0,Quito,Negociable,USED,Mercedes Benz,Sedán,C350,,,,,,,,,,,,,,,,,
138,2019,61477,24.0,Quito,Negociable,USED,Kia,Todoterreno,SPORTAGE SL,,,,,,,,,,,,,,,,,
139,2016,56174,13.0,Quito,Negociable,USED,Chevrolet,Sedán,Aveo Emotion GLS,,,,,,,,,,,,,,,,,
140,2022,1,28.99,Quito,Negociable,USED,JAC,Camioneta Doble Cabina,T8,,,,,,,,,,,,,,,,,
141,1986,212000,13.0,Quito,Negociable,USED,Mercedes Benz,Sedán,230E,,,,,,,,,,,,,,,,,
142,2018,70000,12.0,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),SAIL LTZ,,,,,,,,,,,,,,,,,
143,2018,119000,18.9,Cuenca,Negociable,USED,Chevrolet,Todoterreno,Tracker LS,,,,,,,,,,,,,,,,,
144,2018,65000,18.9,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ Next Sport 2.4,,,,,,,,,,,,,,,,,
145,2019,118000,19.7,Cuenca,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara SZ Next Sport TM,,,,,,,,,,,,,,,,,
146,2022,36000,39.5,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-Max  High Country,,,,,,,,,,,,,,,,,
147,2022,36000,39.5,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-max Crdi 2.5 CD 4x4 TM Diesel,,,,,,,,,,,,,,,,,
148,2019,17000,65.9,Quito,Negociable,USED,Audi,Sedán,A5,,,,,,,,,,,,,,,,,
149,2010,109000,12.6,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail,,,,,,,,,,,,,,,,,
150,2013,40000,28.0,Quito,Negociable,USED,Audi,Sedán,A4,,,,,,,,,,,,,,,,,
151,2019,75000,15.8,Quito,Negociable,USED,Brilliance,Crossover,V3,,,,,,,,,,,,,,,,,
152,2013,84204,46.9,Quito,Negociable,USED,Toyota,Todoterreno,4runner sr5 premium,,,,,,,,,,,,,,,,,
153,2001,61000,15.5,Quito,Fijo,USED,Suzuki,Hatchback (3 Puertas),Forsa 1,,,,,,,,,,,,,,,,,
154,2023,0,22.49,Quito,Negociable,USED,Jetour,Todoterreno,X70 I MT 1.5T,,,,,,,,,,,,,,,,,
155,2012,130000,12.6,Quito,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara 5P 4X4,,,,,,,,,,,,,,,,,
156,2019,90000,12.9,Cuenca,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
157,2010,96000,8.6,Quito,Negociable,USED,Volkswagen,Sedán,GOL 1.6,,,,,,,,,,,,,,,,,
158,2023,0,27.69,Quito,Fijo,USED,Jetour,Todoterreno Ligero,X70 II AT 1.5T,,,,,,,,,,,,,,,,,
159,2008,200000,11.9,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),SAIL LTZ,#1718008,90000 Kms,Eléctricos,Manual,Gasolina,Aire Acondicionado,4 x 2,Negro,2.0,1500.0,Pichincha,Tela,Hidráulica,,,,
160,2023,1,31.99,Quito,Negociable,USED,JAC,Camioneta Doble Cabina,T8,,,,,,,,,,,,,,,,,
161,2018,20533,52.9,Quito,Negociable,USED,Mercedes Benz,Sedán,C250,,,,,,,,,,,,,,,,,
162,2023,0,27.69,Quito,Negociable,USED,Jetour,Todoterreno Ligero,X70 II AT 1.5T,,,,,,,,,,,,,,,,,
163,2003,67900,31.0,Quito,Negociable,USED,Mercedes Benz,Coupé,CLK320,,,,,,,,,,,,,,,,,
164,2013,110000,12.9,Quito,Negociable,USED,Volkswagen,Sedán,Jetta,,,,,,,,,,,,,,,,,
165,2017,73557,14.5,Quito,Negociable,USED,Hyundai,Sedán,Ioniq Hybrid,,,,,,,,,,,,,,,,,
166,2022,0,179.89,Quito,Negociable,USED,Toyota,Camioneta Doble Cabina,Tundra Platinum,,,,,,,,,,,,,,,,,
167,2023,0,36.89,Quito,Negociable,USED,Jetour,Todoterreno,X70 PLUS,,,,,,,,,,,,,,,,,
168,2019,23242,124.0,Quito,Negociable,USED,Porsche,Todoterreno,Cayenne,,,,,,,,,,,,,,,,,
169,2011,141600,22.7,Quito,Fijo,USED,Audi,Todoterreno,Q5 Hybrid,,,,,,,,,,,,,,,,,
170,2012,100000,15.6,Quito,Negociable,USED,Ford,Camioneta Cabina Simple,F150,,,,,,,,,,,,,,,,,
171,2011,150000,14.6,Quito,Negociable,USED,Hyundai,Todoterreno,Tucson,,,,,,,,,,,,,,,,,
172,2009,160000,12.5,Quito,Fijo,USED,Suzuki,Todoterreno,Grand Vitara SZ V6,,,,,,,,,,,,,,,,,
173,2009,160000,12.5,Quito,Fijo,USED,Suzuki,Todoterreno,Grand Vitara SZ 2.0 4x4,,,,,,,,,,,,,,,,,
174,2009,104000,8.9,Quito,Fijo,USED,Renault,Sedán,LOGAN CROSS INTENS,,,,,,,,,,,,,,,,,
175,2009,104000,8.9,Quito,Fijo,USED,Renault,Sedán,Logan Familier,,,,,,,,,,,,,,,,,
176,2018,10538,22.2,Quito,Negociable,USED,Kia,Todoterreno,SPORTAGE SL,,,,,,,,,,,,,,,,,
177,2023,1,25.49,Quito,Financiado,USED,Jetour,Todoterreno,X70 II MT 1.5T,,,,,,,,,,,,,,,,,
178,1990,270000,15.0,Quito,Negociable,USED,Mercedes Benz,Sedán,230E,,,,,,,,,,,,,,,,,
179,2010,195000,8.3,Quito,Fijo,USED,Renault,Sedán,LOGAN EXPRESSION 1.6,,,,,,,,,,,,,,,,,
180,2023,0,13.99,Quito,Fijo,USED,Karry,Mini van (MPV),Acteco Dohc,,,,,,,,,,,,,,,,,
181,2006,168000,10.5,Quito,Fijo,USED,Ford,Todoterreno,Escape Limited Edition,,,,,,,,,,,,,,,,,
182,2006,168000,10.5,Quito,Fijo,USED,Ford,Todoterreno,Escape S Plus,,,,,,,,,,,,,,,,,
183,2010,195000,8.3,Quito,Fijo,USED,Renault,Sedán,Logan Familier,,,,,,,,,,,,,,,,,
184,2016,76443,89.5,Quito,Negociable,USED,Porsche,Todoterreno,Cayenne S Hybrid,,,,,,,,,,,,,,,,,
185,1995,116000,16.0,Quito,Negociable,USED,Alfa Romeo,Sedán,155,,,,,,,,,,,,,,,,,
186,2019,48000,18.9,Quito,Fijo,USED,Chevrolet,Todoterreno,Tracker LS,,,,,,,,,,,,,,,,,
187,2001,10,10.9,Quito,Negociable,USED,Jeep,Todoterreno,Grand Cherokee Limited,,,,,,,,,,,,,,,,,
188,1977,290000,8.2,Quito,Negociable,USED,Mercedes Benz,Sedán,280S,,,,,,,,,,,,,,,,,
189,2009,196340,18.8,Quito,Negociable,USED,Toyota,Todoterreno,Highlander Limited Hibrido,,,,,,,,,,,,,,,,,
190,2022,1,129.89,Quito,Negociable,USED,Jeep,Camioneta Doble Cabina,GLADIATOR RUBICON,,,,,,,,,,,,,,,,,
191,2023,1,36.87,Quito,Fijo,USED,JAC,Camioneta Doble Cabina,T8 PRO,,,,,,,,,,,,,,,,,
192,2020,47000,17.4,Quito,Negociable,USED,Toyota,Hatchback (5 Puertas),Yaris,,,,,,,,,,,,,,,,,
193,2017,170000,15.9,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
194,2018,22000,39.9,Quito,Negociable,USED,Jetour,Todoterreno,X70 II MT 1.5T,#1697417,1 Kms,Eléctricos,Manual,Gasolina,Aire Acondicionado,4 x 2,Rojo,0.0,1500.0,Pichincha,Cuero,Hidráulica,$7.600,$460,72.0,
195,2023,13000,29.9,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX HI RIDE,,,,,,,,,,,,,,,,,
196,2023,0,99.9,Quito,Negociable,NEW,Mercedes Benz,Sedán,E350,,,,,,,,,,,,,,,,,
197,2019,72000,12.9,Quito,Fijo,USED,Hyundai,Hatchback (5 Puertas),Grand I10 HB,,,,,,,,,,,,,,,,,
198,2010,217512,15.9,Quito,Negociable,USED,Hyundai,Microbus,TQ 12 pas 2.5 TM DSL AC,,,,,,,,,,,,,,,,,
199,2023,1,34.99,Quito,Fijo,USED,JAC,Camioneta Doble Cabina,T8 PRO,,,,,,,,,,,,,,,,,
200,2022,1,23.89,Quito,Fijo,USED,JAC,Camioneta Doble Cabina,T6,,,,,,,,,,,,,,,,,
201,2009,272568,12.0,Ambato,Fijo,USED,Toyota,Hatchback (5 Puertas),Yaris Nitro,,,,,,,,,,,,,,,,,
202,2023,0,28.99,Quito,Fijo,USED,JAC,Camioneta Doble Cabina,T8,,,,,,,,,,,,,,,,,
203,2019,70000,52.3,Quito,Negociable,USED,Mazda,Todoterreno,CX-9,,,,,,,,,,,,,,,,,
204,2012,151260,13.5,Ambato,Fijo,USED,Toyota,Hatchback (5 Puertas),Prius C Sport,,,,,,,,,,,,,,,,,
205,2015,76889,17.3,Ambato,Fijo,USED,Chevrolet,Todoterreno,Grand Vitara 5p 4x2,,,,,,,,,,,,,,,,,
206,2019,33365,105.0,Quito,Negociable,USED,Audi,Todoterreno,SQ5,,,,,,,,,,,,,,,,,
207,2011,221083,12.9,Quito,Negociable,USED,Nissan,Camioneta Cabina Simple,Frontier,,,,,,,,,,,,,,,,,
208,2011,162755,16.9,Quito,Negociable,USED,Hyundai,Todoterreno,Tucson IX,,,,,,,,,,,,,,,,,
209,2019,122767,25.9,Quito,Negociable,USED,Kia,Sedán,RIO LX,,,,,,,,,,,,,,,,,
210,2018,56623,20.9,Quito,Negociable,USED,Hyundai,Todoterreno,Creta,,,,,,,,,,,,,,,,,
211,2008,173725,16.999,Quito,Negociable,USED,Mitsubishi,Sedán,Lancer GT,,,,,,,,,,,,,,,,,
212,2020,51000,20.9,Quito,Negociable,USED,Chevrolet,Todoterreno,Tracker LS,,,,,,,,,,,,,,,,,
